date,interest_rate,unemployment_rate,gdp_growth,inflation_rate,market_volatility
2023-01-01,6.009914927422116,3.2473677302660784,1.5371264706073664,0.7848592291502974,0.15052966521122704
2023-01-02,7.606936371757019,4.264062565364615,1.235053184087311,3.0995098554797136,0.20195193906909342
2023-01-03,8.250319086493537,3.171075365826471,1.2036813225996947,2.046165141921899,0.2958925951284764
2023-01-04,6.625160015137716,3.1431134732737624,1.6168993276110895,4.876619644582845,0.11273744804007174
2023-01-05,8.76824702788165,4.344383433479005,2.9170259146489492,3.992575463696493,0.14001440016318636
2023-01-06,7.565876256503272,3.8677261252493054,2.284801286697285,4.631477335124799,0.22545589153848503
2023-01-07,5.643483837654763,3.736196031752318,2.388200365129521,3.7155560556661156,0.16087287893340554
2023-01-08,5.825044205224507,3.4480263193693226,1.0954320321634146,2.415367249592921,0.2717008598879768
2023-01-09,6.439282369800031,4.115849893496938,2.2485720435979974,3.324082746467078,0.12788339741311902
2023-01-10,4.144321622437818,3.56412704546785,2.3696538726020644,2.6972424562291906,0.2926315047167883
2023-01-11,5.669839974799217,3.8008186470158183,3.368691253128359,3.340628420892048,0.28247497830330537
2023-01-12,8.2112218733197,3.1363790008060923,2.084974205259111,3.891274343428998,0.27750581120214424
2023-01-13,8.517700072771625,3.671164646407723,1.7849689918419696,3.597468116659135,0.13461380835268322
2023-01-14,6.929046790351812,3.78762615370745,1.4868841770347485,3.0083425291076935,0.16589922485052885
2023-01-15,7.181552085458067,3.967156811605369,2.1477955047960653,3.0658290632826617,0.26081936844670545
2023-01-16,6.035120823405261,3.8688904527800343,1.944080111642959,3.219600743983904,0.2615616131119892
2023-01-17,5.5397756934619204,3.5332280697566056,2.997962858761412,4.105842296600126,0.24103508304142646
2023-01-18,7.355459794811873,3.8423618185431256,2.821597785881696,2.510335127106824,0.18961017630675034
2023-01-19,5.840286507630356,4.190356176060449,1.3039383211208926,2.7412828668232065,0.1623178541346874
2023-01-20,9.035502768980258,2.957951295294442,2.0822463783118015,2.49252895195116,0.29259158723634543
2023-01-21,7.112887468530739,3.617262023108781,4.057983997368043,3.137299568109543,0.1278524539776692
2023-01-22,7.167907523000267,3.8043611537552313,0.9273615105018921,3.636687128942855,0.10875081219239123
2023-01-23,4.910722796740782,3.2388683828163423,1.9505886768420422,3.2996536572444506,0.10182610399797223
2023-01-24,3.02211338813854,4.164858428640702,2.7019992526869263,2.9423246688127858,0.25500538192673766
2023-01-25,7.167691336254907,3.999750392991574,1.9099217235179315,4.072772255488233,0.1113410291933479
2023-01-26,5.754645857117268,4.199060670347237,1.842384668066252,2.205782426037433,0.2077287208943824
2023-01-27,7.975956571625091,4.779847091177324,1.7243176869844605,1.5001958355198988,0.1734584882134605
2023-01-28,5.130884242778981,3.8650691995095108,1.248898997987877,3.321551880346455,0.1293815780144414
2023-01-29,5.703183051977995,3.5584151460618973,1.9647593348594354,2.9597401750458845,0.24811909737744062
2023-01-30,8.179186632072883,4.1692876832046055,2.9208195227591944,2.832874036340294,0.11100136620878692
2023-01-31,7.155189974116459,3.406018351714585,1.0825351575713265,1.6805378579853767,0.16367876771709047
2023-02-01,4.9980172243968966,3.9320606068130166,2.313358143907131,3.1986021598400525,0.2124382450840182
2023-02-02,6.551010754195917,4.2184141288220625,2.96319724536187,4.795073656627562,0.18048314467125043
2023-02-03,9.355595341469892,4.116095655885267,2.083477285543122,1.6684576281918548,0.15182963973184002
2023-02-04,6.715447094361912,4.4036726280242,1.7630160982236907,2.8428986017848628,0.28520020094120935
2023-02-05,6.277940903198985,3.563392572274828,2.639468096861489,3.075492811025541,0.2861940776997328
2023-02-06,7.842849454180502,4.054527894394712,1.3797766550153523,2.556065898304419,0.18321890792184528
