application_id,credit_score,income,debt_to_income,payment_history,credit_utilization,length_of_credit,number_of_accounts,derogatory_marks,inquiries_last_6_months,employment_length,home_ownership,loan_amount,loan_term,interest_rate,risk_level,decision
APP0001,749,99983,0.3849745423879394,Fair,0.7729883488128486,10.698833286425018,15,1,4,19.45851420817799,Own,280571.0121936175,24,10.217601140300228,Very Good,Approve
APP0002,686,88115,0.14620689089816913,Fair,0.22129912130536591,16.060068086626792,7,1,2,1.5117018481089461,Own,297022.5756017367,36,3.5859952035567435,Good,Review
APP0003,764,66490,0.3441743737786356,Poor,0.8442680829404252,6.729121264675869,4,1,2,0.06724756645873242,Rent,158203.13611719522,48,6.8354138710170735,Very Good,Approve
APP0004,852,48826,0.1776986691539204,Good,0.6357245056859953,24.350057523450925,10,0,3,7.613365276078381,Rent,323523.31807616935,12,7.740403587321032,,Approve
APP0005,676,82455,0.6657646470064555,Poor,0.7497822307780256,6.387531686262527,6,2,1,12.021941227450185,Own,416451.3918776613,48,5.976723234155573,Good,Decline
APP0006,676,74837,0.7633816181751296,Good,0.5227620887355099,3.464022406794526,9,1,4,12.584003148993217,Mortgage,499054.9142601962,12,3.4640405282257216,Good,Decline
APP0007,857,87379,0.15062153268055703,Excellent,0.7125891962104539,13.651134764357563,8,1,3,9.528914725876572,Rent,420837.749224385,36,6.825862753272705,,Approve
APP0008,776,80879,0.7685806451041911,Poor,0.06377033773854714,20.090915745675794,7,0,2,2.4976662648129233,Own,283174.39224317425,24,12.511498817409942,Very Good,Decline
APP0009,653,91238,0.46580361953572164,Good,0.745623361062605,13.6937879230727,6,1,3,3.4099504357578847,Mortgage,104780.49992317871,36,7.3213090630997115,Fair,Review
APP0010,754,51619,0.30969597456771175,Good,0.08411803022256155,9.02586982658795,5,0,2,17.042959677040184,Mortgage,343908.4792987122,24,6.8804370628122395,Very Good,Approve
APP0011,653,97934,0.15380345269331447,Poor,0.8064263699084331,17.186964332822782,8,0,1,17.358222634785225,Own,469450.3549234093,60,14.301037654939014,Fair,Review
APP0012,653,69939,0.4504369876492925,Poor,0.8931683351528468,11.063067726953799,8,0,1,13.477970757214404,Own,113814.60446882818,12,3.4995686245740156,Fair,Review
